,VALUE,DATE
0,11.5,1975-01-02
1,11.5,1975-01-03
2,11.5,1975-01-06
3,11.5,1975-01-07
4,11.5,1975-01-08
5,11.5,1975-01-09
6,11.5,1975-01-10
7,11.5,1975-01-13
8,11.5,1975-01-14
9,11.5,1975-01-15
10,11.5,1975-01-16
11,11.5,1975-01-17
12,11.25,1975-01-20
13,11.25,1975-01-21
14,11.25,1975-01-22
15,11.25,1975-01-23
16,11.25,1975-01-24
17,11.0,1975-01-27
18,11.0,1975-01-28
19,11.0,1975-01-29
20,11.0,1975-01-30
21,11.0,1975-01-31
22,11.0,1975-02-03
23,11.0,1975-02-04
24,11.0,1975-02-05
25,11.0,1975-02-06
26,11.0,1975-02-07
27,10.75,1975-02-10
28,10.75,1975-02-11
29,10.75,1975-02-12
30,10.75,1975-02-13
31,10.75,1975-02-14
32,10.5,1975-02-17
33,10.5,1975-02-18
34,10.5,1975-02-19
35,10.5,1975-02-20
36,10.5,1975-02-21
37,10.5,1975-02-24
38,10.5,1975-02-25
39,10.5,1975-02-26
40,10.5,1975-02-27
41,10.5,1975-02-28
42,10.5,1975-03-03
43,10.5,1975-03-04
44,10.5,1975-03-05
45,10.5,1975-03-06
46,10.5,1975-03-07
47,10.25,1975-03-10
48,10.25,1975-03-11
49,10.25,1975-03-12
50,10.25,1975-03-13
51,10.25,1975-03-14
52,10.25,1975-03-17
53,10.25,1975-03-18
54,10.25,1975-03-19
55,10.25,1975-03-20
56,10.25,1975-03-21
57,10.0,1975-03-24
58,10.0,1975-03-25
59,10.0,1975-03-26
60,10.0,1975-03-27
61,10.0,1975-04-01
62,10.0,1975-04-02
63,10.0,1975-04-03
64,10.0,1975-04-04
65,10.0,1975-04-07
66,10.0,1975-04-08
67,10.0,1975-04-09
68,10.0,1975-04-10
69,10.0,1975-04-11
70,10.0,1975-04-14
71,10.0,1975-04-15
72,10.0,1975-04-16
73,10.0,1975-04-17
74,10.0,1975-04-18
75,9.75,1975-04-21
76,9.75,1975-04-22
77,9.75,1975-04-23
78,9.75,1975-04-24
79,9.75,1975-04-25
80,9.75,1975-04-28
81,9.75,1975-04-29
82,9.75,1975-04-30
83,9.75,1975-05-01
84,9.75,1975-05-02
85,10.0,1975-05-05
86,10.0,1975-05-06
87,10.0,1975-05-07
88,10.0,1975-05-08
89,10.0,1975-05-09
90,10.0,1975-05-12
91,10.0,1975-05-13
92,10.0,1975-05-14
93,10.0,1975-05-15
94,10.0,1975-05-16
95,10.0,1975-05-19
96,10.0,1975-05-20
97,10.0,1975-05-21
98,10.0,1975-05-22
99,10.0,1975-05-23
100,10.0,1975-05-27
101,10.0,1975-05-28
102,10.0,1975-05-29
103,10.0,1975-05-30
104,10.0,1975-06-02
105,10.0,1975-06-03
106,10.0,1975-06-04
107,10.0,1975-06-05
108,10.0,1975-06-06
109,10.0,1975-06-09
110,10.0,1975-06-10
111,10.0,1975-06-11
112,10.0,1975-06-12
113,10.0,1975-06-13
114,10.0,1975-06-16
115,10.0,1975-06-17
116,10.0,1975-06-18
117,10.0,1975-06-19
118,10.0,1975-06-20
119,10.0,1975-06-23
120,10.0,1975-06-24
121,10.0,1975-06-25
122,10.0,1975-06-26
123,10.0,1975-06-27
124,10.0,1975-06-30
125,10.0,1975-07-01
126,10.0,1975-07-02
127,10.0,1975-07-03
128,10.0,1975-07-04
129,10.0,1975-07-07
130,10.0,1975-07-08
131,10.0,1975-07-09
132,10.0,1975-07-10
133,10.0,1975-07-11
134,10.0,1975-07-14
135,10.0,1975-07-15
136,10.0,1975-07-16
137,10.0,1975-07-17
138,10.0,1975-07-18
139,10.0,1975-07-21
140,10.0,1975-07-22
141,10.0,1975-07-23
142,10.0,1975-07-24
143,10.0,1975-07-25
144,11.0,1975-07-28
145,11.0,1975-07-29
146,11.0,1975-07-30
147,11.0,1975-07-31
148,11.0,1975-08-01
149,11.0,1975-08-04
150,11.0,1975-08-05
151,11.0,1975-08-06
152,11.0,1975-08-07
153,11.0,1975-08-08
154,11.0,1975-08-11
155,11.0,1975-08-12
156,11.0,1975-08-13
157,11.0,1975-08-14
158,11.0,1975-08-15
159,11.0,1975-08-18
160,11.0,1975-08-19
161,11.0,1975-08-20
162,11.0,1975-08-21
163,11.0,1975-08-22
164,11.0,1975-08-26
165,11.0,1975-08-27
166,11.0,1975-08-28
167,11.0,1975-08-29
168,11.0,1975-09-01
169,11.0,1975-09-02
170,11.0,1975-09-03
171,11.0,1975-09-04
172,11.0,1975-09-05
173,11.0,1975-09-08
174,11.0,1975-09-09
175,11.0,1975-09-10
176,11.0,1975-09-11
177,11.0,1975-09-12
178,11.0,1975-09-15
179,11.0,1975-09-16
180,11.0,1975-09-17
181,11.0,1975-09-18
182,11.0,1975-09-19
183,11.0,1975-09-22
184,11.0,1975-09-23
185,11.0,1975-09-24
186,11.0,1975-09-25
187,11.0,1975-09-26
188,11.0,1975-09-29
189,11.0,1975-09-30
190,11.0,1975-10-01
191,11.0,1975-10-02
192,11.0,1975-10-03
193,12.0,1975-10-06
194,12.0,1975-10-07
195,12.0,1975-10-08
196,12.0,1975-10-09
197,12.0,1975-10-10
198,12.0,1975-10-13
199,12.0,1975-10-14
200,12.0,1975-10-15
201,12.0,1975-10-16
202,12.0,1975-10-17
203,12.0,1975-10-20
204,12.0,1975-10-21
205,12.0,1975-10-22
206,12.0,1975-10-23
207,12.0,1975-10-24
208,12.0,1975-10-27
209,12.0,1975-10-28
210,12.0,1975-10-29
211,12.0,1975-10-30
212,12.0,1975-10-31
213,12.0,1975-11-03
214,12.0,1975-11-04
