,Year,Afghanistan | AFG,Albania | ALB,Algeria | DZA,American Samoa | ASM,Andorra | AND,Angola | AGO,Antigua and Barbuda | ATG,Arab World | ARB,Argentina | ARG,Armenia | ARM,Aruba | ABW,Australia | AUS,Austria | AUT,Azerbaijan | AZE,"Bahamas, The | BHS",Bahrain | BHR,Bangladesh | BGD,Barbados | BRB,Belarus | BLR,Belgium | BEL,Belize | BLZ,Benin | BEN,Bermuda | BMU,Bhutan | BTN,Bolivia | BOL,Bosnia and Herzegovina | BIH,Botswana | BWA,Brazil | BRA,Brunei Darussalam | BRN,Bulgaria | BGR,Burkina Faso | BFA,Burundi | BDI,Cabo Verde | CPV,Cambodia | KHM,Cameroon | CMR,Canada | CAN,Caribbean small states | CSS,Cayman Islands | CYM,Central African Republic | CAF,Central Europe and the Baltics | CEB,Chad | TCD,Channel Islands | CHI,Chile | CHL,China | CHN,Colombia | COL,Comoros | COM,"Congo, Dem. Rep. | COD","Congo, Rep. | COG",Costa Rica | CRI,Cote d'Ivoire | CIV,Croatia | HRV,Cuba | CUB,Curacao | CUW,Cyprus | CYP,Czech Republic | CZE,Denmark | DNK,Djibouti | DJI,Dominica | DMA,Dominican Republic | DOM,East Asia & Pacific (all income levels) | EAS,East Asia & Pacific (developing only) | EAP,Ecuador | ECU,"Egypt, Arab Rep. | EGY",El Salvador | SLV,Equatorial Guinea | GNQ,Eritrea | ERI,Estonia | EST,Ethiopia | ETH,Euro area | EMU,Europe & Central Asia (all income levels) | ECS,Europe & Central Asia (developing only) | ECA,European Union | EUU,Faroe Islands | FRO,Fiji | FJI,Finland | FIN,Fragile and conflict affected situations | FCS,France | FRA,French Polynesia | PYF,Gabon | GAB,"Gambia, The | GMB",Georgia | GEO,Germany | DEU,Ghana | GHA,Greece | GRC,Greenland | GRL,Grenada | GRD,Guam | GUM,Guatemala | GTM,Guinea | GIN,Guinea-Bissau | GNB,Guyana | GUY,Haiti | HTI,Heavily indebted poor countries (HIPC) | HPC,High income | HIC,High income: OECD | OEC,High income: nonOECD | NOC,Honduras | HND,"Hong Kong SAR, China | HKG",Hungary | HUN,Iceland | ISL,India | IND,Indonesia | IDN,"Iran, Islamic Rep. | IRN",Iraq | IRQ,Ireland | IRL,Isle of Man | IMN,Israel | ISR,Italy | ITA,Jamaica | JAM,Japan | JPN,Jordan | JOR,Kazakhstan | KAZ,Kenya | KEN,Kiribati | KIR,"Korea, Dem. People?s Rep. | PRK","Korea, Rep. | KOR",Kosovo | KSV,Kuwait | KWT,Kyrgyz Republic | KGZ,Lao PDR | LAO,Latin America & Caribbean (all income levels) | LCN,Latin America & Caribbean (developing only) | LAC,Latvia | LVA,Least developed countries: UN classification | LDC,Lebanon | LBN,Lesotho | LSO,Liberia | LBR,Libya | LBY,Liechtenstein | LIE,Lithuania | LTU,Low & middle income | LMY,Low income | LIC,Lower middle income | LMC,Luxembourg | LUX,"Macao SAR, China | MAC","Macedonia, FYR | MKD",Madagascar | MDG,Malawi | MWI,Malaysia | MYS,Maldives | MDV,Mali | MLI,Malta | MLT,Marshall Islands | MHL,Mauritania | MRT,Mauritius | MUS,Mexico | MEX,"Micronesia, Fed. Sts. | FSM",Middle East & North Africa (all income levels) | MEA,Middle East & North Africa (developing only) | MNA,Middle income | MIC,Moldova | MDA,Monaco | MCO,Mongolia | MNG,Montenegro | MNE,Morocco | MAR,Mozambique | MOZ,Myanmar | MMR,Namibia | NAM,Nepal | NPL,Netherlands | NLD,New Caledonia | NCL,New Zealand | NZL,Nicaragua | NIC,Niger | NER,Nigeria | NGA,North America | NAC,Northern Mariana Islands | MNP,Norway | NOR,Not classified | INX,OECD members | OED,Oman | OMN,Other small states | OSS,Pacific island small states | PSS,Pakistan | PAK,Palau | PLW,Panama | PAN,Papua New Guinea | PNG,Paraguay | PRY,Peru | PER,Philippines | PHL,Poland | POL,Portugal | PRT,Puerto Rico | PRI,Qatar | QAT,Romania | ROU,Russian Federation | RUS,Rwanda | RWA,Samoa | WSM,San Marino | SMR,Sao Tome and Principe | STP,Saudi Arabia | SAU,Senegal | SEN,Serbia | SRB,Seychelles | SYC,Sierra Leone | SLE,Singapore | SGP,Sint Maarten (Dutch part) | SXM,Slovak Republic | SVK,Slovenia | SVN,Small states | SST,Solomon Islands | SLB,Somalia | SOM,South Africa | ZAF,South Asia | SAS,South Sudan | SSD,Spain | ESP,Sri Lanka | LKA,St. Kitts and Nevis | KNA,St. Lucia | LCA,St. Martin (French part) | MAF,St. Vincent and the Grenadines | VCT,Sub-Saharan Africa (all income levels) | SSF,Sub-Saharan Africa (developing only) | SSA,Sudan | SDN,Suriname | SUR,Swaziland | SWZ,Sweden | SWE,Switzerland | CHE,Syrian Arab Republic | SYR,Tajikistan | TJK,Tanzania | TZA,Thailand | THA,Timor-Leste | TLS,Togo | TGO,Tonga | TON,Trinidad and Tobago | TTO,Tunisia | TUN,Turkey | TUR,Turkmenistan | TKM,Turks and Caicos Islands | TCA,Tuvalu | TUV,Uganda | UGA,Ukraine | UKR,United Arab Emirates | ARE,United Kingdom | GBR,United States | USA,Upper middle income | UMC,Uruguay | URY,Uzbekistan | UZB,Vanuatu | VUT,"Venezuela, RB | VEN",Vietnam | VNM,Virgin Islands (U.S.) | VIR,West Bank and Gaza | PSE,World | WLD,"Yemen, Rep. | YEM",Zambia | ZMB,Zimbabwe | ZWE
0,1960,414.371,2024.184,6160.56,,,550.05,36.67,59563.98922,48815.10400000001,,,88202.351,30821.135,,410.704,575.719,,172.34900000000002,,91000.272,44.004,161.34799999999998,157.681,,1004.758,,,46908.264,333.69699999999995,22295.36,44.004,,22.002,234.688,271.358,192895.201,5878.201,11.001,88.008,467450.0281,55.005,,13490.893,780726.302,16409.825,11.001,2321.2110000000002,223.687,491.37800000000004,462.042,,13699.912,,887.414,,29779.707000000002,40.336999999999996,11.001,1041.428,1211359.018,854114.5772,1763.8270000000002,16054.126,619.7230000000001,22.002,,,352.032,1128460.869,,,2359869.701,58.672,194.351,15104.373,33028.91259,271218.654,36.67,132.012,18.335,,,1463.1329999999998,9405.855,223.687,22.002,,1345.789,410.704,18.335,660.06,286.026,19481.402319999997,6832548.967,5668393.536,,616.056,2955.6020000000003,45371.791,1213.777,120581.961,21404.279,37392.399,8265.418,11180.683,,6468.588000000001,109357.274,1470.467,232781.16,744.4010000000001,,2427.554,,,12552.141000000001,,7803.376,,80.67399999999999,294099.2358,159976.542,,23700.30501,2581.5679999999998,,165.015,693.063,,,1755963.4730000002,,349995.1734,11518.046999999999,51.338,,399.70300000000003,,,,121.01100000000001,341.031,,36.67,179.683,63116.404,,102252.4176,84204.24175,1726709.445,,,1294.451,,3641.3309999999997,1884.838,2717.2470000000003,,80.67399999999999,73505.015,861.745,11543.716,531.715,29.336,3406.643,3083748.982,,13102.191,,5729496.167,,,309.5141183,14154.62,14.668,997.424,179.683,304.361,8173.743,8335.091,199767.15899999999,8225.081,,176.016,53450.192,,106.34299999999999,14.668,,11.001,2676.91,828.742,,,715.065,1393.46,,,,7013.93686,11.001,84.34100000000001,97934.569,139487.6917,,48928.780999999995,2258.8720000000003,11.001,14.668,,11.001,124501.722,124475.76800000001,1360.457,432.70599999999996,33.003,49222.140999999996,19523.108,3223.2929999999997,,828.742,3714.671,,66.006,11.001,2581.5679999999998,1727.1570000000002,16820.529,,,,421.705,,11.001,584299.78,2890696.1,1323391.024,4319.726,,,57069.52099999999,7491.681,,,9396705.835,3633.9970000000003,,
1,1961,491.37800000000004,2280.874,6065.218000000001,,,454.708,47.67100000000001,65151.09581,51180.319,,,90589.56800000001,31862.563,,546.383,1771.161,,194.351,,92793.435,36.67,128.345,176.016,,1041.428,,,49203.806,304.361,25973.361,91.675,,22.002,286.026,282.35900000000004,194182.318,8804.466999999999,11.001,88.008,492615.8119,51.338,,14473.649,552066.85,18217.656000000003,11.001,2357.881,267.691,491.37800000000004,553.717,,12181.774,,865.4119999999999,,31734.217999999997,44.004,11.001,1030.427,1042288.043,624031.7971,1646.483,17088.22,583.053,22.002,,,341.031,1190486.9009999998,,,2446230.536,113.677,168.68200000000002,14939.358,32574.36622,281211.229,58.672,165.015,22.002,,,1345.789,9823.893,293.36,18.335,,1408.128,616.056,29.336,737.067,297.027,20522.26086,6975252.562000001,5784145.135,,737.067,3373.64,48976.452000000005,1092.766,130402.18699999999,26024.699,36541.655,8720.126,12365.124,,7069.976,124549.655,2130.527,283118.06899999996,979.0889999999999,,2401.885,7.334,,14462.648000000001,,9981.574,,113.677,300700.1824,166206.775,,23051.17351,2684.244,,161.34799999999998,1195.442,,,1517011.1709999999,,376958.4239,11591.386999999999,69.673,,355.699,,,,117.344,293.36,,47.67100000000001,187.017,65305.602999999996,,107498.3889,84640.85634,1489432.407,,,1393.46,,3777.01,2632.906,2592.569,,80.67399999999999,75888.565,887.414,11767.403,561.0509999999999,55.005,4114.374,3074863.841,,13351.546999999999,,5847718.538,,,332.6121868,14656.999,51.338,1103.767,201.685,363.033,8643.119,8723.793,207434.85600000003,9090.493,,161.34799999999998,55775.07,,139.346,18.335,,11.001,3571.658,814.074,,,289.693,2093.857,,,,10168.8469,14.668,88.008,102213.95800000001,150116.4946,,53677.545999999995,2335.879,22.002,18.335,,11.001,130220.8549,130194.7781,1386.126,429.039,3.667,48851.774000000005,20388.52,3065.612,,704.064,4147.377,,91.675,11.001,4602.085,1767.494,17363.245,,,,407.037,,11.001,588938.535,2880505.5069999998,1089350.837,4121.708,,,51928.387,7986.726,,,9434402.595,2665.909,,
2,1962,689.3960000000001,2464.224,5669.182,,,1180.774,102.676,74357.70773,53695.880999999994,,,94912.961,33905.082,,726.066,1591.4779999999998,,260.357,,98117.91900000001,69.673,135.679,157.681,,1100.1,,,53695.880999999994,370.36699999999996,30736.793999999998,84.34100000000001,44.004,18.335,308.028,289.693,207185.5,11771.07,11.001,73.34,527332.9483,84.34100000000001,,16725.186999999998,440359.029,19442.433999999997,11.001,2174.531,238.355,550.05,586.72,,14169.288,,905.7489999999999,,36926.69,47.67100000000001,11.001,1243.113,949564.1715,510458.4648,1565.809,18595.357,649.059,22.002,,,396.036,1296183.144,,,2587557.241,117.344,231.021,16809.528000000002,35414.51888,298706.48600000003,47.67100000000001,88.008,25.669,,,1433.797,10164.924,264.024,25.669,,1382.4589999999998,660.06,40.336999999999996,678.395,304.361,20556.956140000002,7299531.744,6042262.183999999,,700.3969999999999,3685.335,50560.596,1199.109,143467.708,22995.757,37462.072,9031.821,13120.526000000002,,7942.722,146456.313,2119.526,293220.654,1048.762,,2625.572,11.001,,17278.904,,14290.298999999999,,132.012,318961.7989,174255.84,,25800.695819999997,2856.593,,253.023,1048.762,,,1440201.7419999999,,405356.0717,11551.05,95.34200000000001,,396.036,,,,139.346,330.03,,62.339,253.023,63809.467000000004,,118397.5362,87777.87711,1413668.5880000002,,,1972.846,,3080.28,1987.514,2882.262,,88.008,83358.244,564.7180000000001,11210.018999999998,660.06,66.006,4180.38,3194551.0539999995,,14077.613000000001,,6107652.761,,,413.5178539,16105.464,51.338,1191.775,198.018,392.369,9970.573,10348.274,216815.042,9303.179,,190.68400000000003,63879.14,,84.34100000000001,18.335,,11.001,6255.901999999999,814.074,,,326.363,2577.901,,,,13388.65769,14.668,106.34299999999999,105767.281,165280.303,,60054.459,2563.2329999999997,14.668,18.335,,11.001,134787.7613,134761.5864,1485.135,495.045,,51326.999,24154.529,3204.958,,766.403,5034.791,,88.008,11.001,7238.658,1796.83,21631.632999999998,,,,429.039,,18.335,593360.937,2987207.873,1000862.0,4011.698,,40.336999999999996,54106.585,9347.183,,,9818839.874,3887.02,,
3,1963,707.7310000000001,2082.856,5427.16,,,1151.438,84.34100000000001,87895.97916,50083.886,,,101029.51699999999,36992.696,,707.7310000000001,1195.442,,190.68400000000003,,105781.94900000001,62.339,121.01100000000001,150.347,,1213.777,,,55617.389,355.699,34411.128,88.008,47.67100000000001,14.668,388.702,300.694,211109.19,5984.544,11.001,73.34,570233.9056,91.675,,17355.911,436695.696,21257.599,11.001,2295.542,234.688,601.388,623.39,,13039.851999999999,,986.423,,40707.367,66.006,14.668,1250.447,992849.6269,507487.4884,1796.83,21554.626,1125.769,25.669,,,421.705,1423338.0259999998,,,2763983.133,124.678,242.02200000000002,19358.093,36308.93508,334019.696,66.006,73.34,29.336,,,1723.49,12258.781,330.03,14.668,,1521.805,696.73,47.67100000000001,616.056,249.356,21737.942890000002,7699373.7360000005,6378499.267000001,,711.398,4250.053,56281.115999999995,1305.452,154083.673,22783.071,41341.758,9394.854,13461.556999999999,,8210.413,164780.312,2398.218,325222.563,1221.111,,2856.593,18.335,,21103.585,,17025.881,,146.68,319198.62100000004,181094.795,,24922.077530000002,3028.942,,355.699,1463.1329999999998,,,1491306.0990000002,,436776.4811,11448.374,106.34299999999999,,462.042,,,,176.016,410.704,,88.008,209.019,66361.69900000001,,135940.3576,95989.16657,1463950.17,,,1602.479,,3960.36,1661.151,2636.573,,99.009,91227.62599999999,619.7230000000001,12229.445,843.41,88.008,5350.153,3330490.4110000003,,14983.362,,6446233.308999999,,,433.59153619999995,18514.683,55.005,1184.441,256.69,410.704,10234.597,11485.044,231219.018,10025.578000000001,,6138.558000000001,69529.98700000001,,84.34100000000001,22.002,,7.334,6945.298000000001,861.745,,7.334,370.36699999999996,3399.309,,,,7256.388881,14.668,102.676,109826.65,178494.6915,,58822.347,2533.897,18.335,22.002,,14.668,141307.9981,141277.804,1679.486,531.715,,55371.7,29104.979,3611.995,,803.073,5570.173000000001,,106.34299999999999,11.001,1309.119,1947.1770000000001,22669.394,,,,432.70599999999996,,22.002,603822.8879999999,3119230.874,1024637.3690000001,4319.726,,33.003,56204.109000000004,9119.829,,,10355747.35,2918.9320000000002,,
4,1964,839.743,2016.85,5650.847,,,1224.778,91.675,103196.2816,55727.399000000005,,,108979.573,38943.54,,1085.432,1598.8120000000001,,179.683,,103662.42300000001,84.34100000000001,143.013,201.685,,1481.4679999999998,,,56735.824,341.031,42863.562999999995,110.01,47.67100000000001,29.336,341.031,337.36400000000003,237801.283,10652.635,11.001,73.34,612557.9357,99.009,,17524.593,436923.05,21708.64,11.001,1976.513,267.691,674.7280000000001,762.7360000000001,,14293.966,,1001.091,,43189.926,84.34100000000001,14.668,1749.1589999999999,1047114.2790000001,514373.0294,2145.195,25522.32,1232.112,25.669,,,407.037,1490743.8969999999,,,2879925.788,121.01100000000001,425.37199999999996,22852.744,37692.00795,345303.055,66.006,190.68400000000003,29.336,,,1650.15,13223.202,315.362,22.002,,1771.161,700.3969999999999,58.672,649.059,300.694,23645.69072,8092892.7129999995,6690991.696,,722.3989999999999,4224.384,62401.33900000001,1309.119,150647.69400000002,22394.369,47560.99,9075.825,14231.627,,9149.165,175957.328,4066.703,359318.32899999997,1243.113,,2827.257,18.335,,22218.353,,25335.303,,172.34900000000002,345527.2257,197467.95,,27655.556660000002,3267.297,,484.04400000000004,663.727,,,1565535.03,,452392.9984,12306.452,128.345,,484.04400000000004,330.03,,,176.016,498.712,,117.344,308.028,74278.75200000001,,158237.5698,108309.7698,1536457.961,,,2046.1860000000001,,4422.402,2141.528,2860.26,,150.347,96867.472,1100.1,13105.858,949.753,95.34200000000001,7275.328,3493998.2739999997,,16189.805,,6770077.357999999,11.001,,678.4904593,19035.397,58.672,1243.113,267.691,432.70599999999996,12266.115,12838.167,243114.766,11023.002,,6274.236999999999,72115.22200000001,,36.67,25.669,,11.001,7047.974,924.084,,7.334,304.361,3703.67,,,,12700.61661,18.335,135.679,119657.877,175458.9536,,64410.855,2273.54,18.335,22.002,,18.335,155107.9557,155078.2221,1859.1689999999999,605.055,11.001,60432.16,28166.227000000003,4367.397,,1034.094,7480.68,,132.012,11.001,3795.345,2757.5840000000003,26336.394,,,,491.37800000000004,,18.335,608355.3,3255995.3060000003,1079570.32,4558.081,,62.339,56603.812000000005,11800.406,,,10947007.09,3633.9970000000003,3278.298,4473.74
5,1965,1008.425,2174.531,6596.933000000001,,,1188.108,150.347,123828.1969,58866.350999999995,,,120966.996,38188.138,,1316.453,1228.445,,205.352,,105440.918,84.34100000000001,150.347,179.683,,1510.8039999999999,,,56398.46,333.69699999999995,46317.877,102.676,36.67,25.669,403.37,311.695,252153.921,11917.75,11.001,88.008,631585.8538,106.34299999999999,,17766.615,475972.93299999996,22885.747000000003,14.668,2471.558,245.68900000000002,847.077,1173.44,,14609.328000000001,,1151.438,,44337.697,121.01100000000001,14.668,1547.474,1135836.9479999999,559456.8386,2277.2070000000003,27641.846,1041.428,29.336,,,645.3919999999999,1553826.466,,,2977352.5310000004,135.679,344.69800000000004,25327.968999999997,50900.84125,351852.31700000004,84.34100000000001,216.35299999999998,29.336,,,1705.155,17025.881,344.69800000000004,22.002,,1976.513,696.73,66.006,1078.098,304.361,27623.29915,8453126.556,6978681.967,,751.735,4807.437,61293.905,1397.1270000000002,165972.087,24689.911,53765.554000000004,19314.089,13732.915,,12944.51,189767.25,2992.272,386919.838,1422.796,,2467.891,11.001,,25005.272999999997,,35419.553,,179.683,357860.7711,199250.112,,31457.04887,3318.635,,557.384,1015.7589999999999,,,1700437.396,,499625.196,12203.776000000002,132.012,,557.384,348.365,,,198.018,473.043,,161.34799999999998,304.361,75246.84,,188221.8963,127601.5303,1667989.78,,,1958.1779999999999,,4261.054,2005.849,2728.248,,179.683,100497.802,1232.112,13699.912,781.071,91.675,11763.736,3643256.175,,16409.825,,7058603.57,25.669,,586.1515211,19974.148999999998,66.006,1529.139,304.361,550.05,11965.421,13982.271,247221.806,11598.721000000001,,6292.571999999999,78723.156,,47.67100000000001,29.336,,11.001,4220.717000000001,1694.154,,7.334,282.35900000000004,2530.23,,,,14093.312919999998,25.669,132.012,128260.659,192549.8603,,71117.798,2658.575,22.002,25.669,,14.668,172163.2881,172130.2468,2427.554,795.7389999999999,80.67399999999999,62628.693,30370.093999999997,3678.0009999999997,,1162.4389999999999,7451.344,,132.012,11.001,5196.139,2464.224,27388.822999999997,,,,627.057,,22.002,622619.93,3390922.5710000005,1166006.959,5522.5019999999995,,47.67100000000001,60787.859000000004,13164.53,,,11433441.98,3931.0240000000003,3916.3559999999998,5214.474
6,1966,1092.766,2552.232,8430.433,,,1554.808,348.365,139079.1501,63138.405999999995,,,120332.605,39258.902,,1092.766,649.059,,267.691,,105206.23,80.67399999999999,113.677,201.685,,1690.487,,,64304.512,491.37800000000004,48767.433,102.676,47.67100000000001,22.002,469.376,344.69800000000004,259319.23899999997,11756.402,18.335,84.34100000000001,651698.1816,84.34100000000001,,18793.375,522789.52200000006,23501.803,18.335,2405.552,308.028,993.757,1294.451,,15185.046999999999,,1243.113,,50127.89,139.346,14.668,1672.152,1231694.788,617292.3515,2420.22,26563.748,1305.452,25.669,,,825.075,1615700.696,,,3066425.293,139.346,322.69599999999997,29519.35,63926.165429999994,347235.564,121.01100000000001,381.36800000000005,33.003,,,1441.131,18650.362,388.702,29.336,,1741.825,718.732,66.006,1180.774,304.361,28814.748689999997,8817357.606,7287915.807999999,,806.74,5166.803,61733.945,1496.136,171765.947,23395.46,64161.499,27704.185,15111.707,,13597.236,214248.142,3520.32,419743.155,1584.144,,2684.244,11.001,,30014.395,,35151.862,,234.688,376611.0682,217214.745,,32414.402619999997,3630.33,,612.389,2629.239,,,1848051.6130000001,,524838.8544,11620.723,150.347,,579.386,429.039,,,190.68400000000003,414.371,,179.683,275.025,80930.69,,214211.4919,151663.0299,1812478.745,,,1954.511,,5467.496999999999,2126.86,2808.922,,190.68400000000003,103655.089,1510.8039999999999,14015.274,960.7539999999999,135.679,12907.84,3821399.035,,19563.445,,7377267.616,29.336,,590.1662575,20326.181,66.006,1657.484,341.031,513.38,13256.205,16123.798999999999,252678.302,11851.743999999999,,6277.904,84183.319,,44.004,25.669,,11.001,6413.5830000000005,1719.8229999999999,,7.334,300.694,674.7280000000001,,,,14217.10815,25.669,139.346,128356.00099999999,198885.475,,77729.399,2662.242,22.002,29.336,,18.335,175666.2475,175636.9577,2643.907,1096.433,201.685,72591.932,31528.866,4917.447,,1371.4579999999999,9479.195,,179.683,11.001,4055.702,2885.929,31547.201,,,,733.4,,25.669,618564.228,3561878.111,1279720.733,5405.158,,77.007,57029.184,19200.412,,,12009447.0,3465.315,3501.985,6046.883000000001
7,1967,1283.45,2680.577,8441.434000000001,,,993.757,564.7180000000001,149730.9591,65543.958,,,129265.41699999999,39966.633,,1705.155,1004.758,,337.36400000000003,,107472.436,121.01100000000001,143.013,212.68599999999998,,1892.172,,,66193.017,440.04,55166.348,102.676,47.67100000000001,18.335,418.038,458.375,281896.958,14026.275,14.668,91.675,677985.7686,117.344,,19259.084,433234.04799999995,24715.58,18.335,2291.875,322.69599999999997,876.413,1488.8020000000001,,15749.765,,1364.124,,49075.460999999996,88.008,22.002,1569.476,1242864.505,536064.1888,2592.569,19677.122,1158.772,25.669,,,1074.431,1717790.139,,,3135859.966,168.68200000000002,355.699,28617.267999999996,71243.59146,372009.816,139.346,1012.092,33.003,,,1496.136,19534.109,418.038,36.67,,1983.8470000000002,726.066,47.67100000000001,1323.787,260.357,31399.27767,9217169.561,7596239.704,,876.413,6057.884,58829.681,1444.7979999999998,172238.99,24561.566000000003,67942.17599999999,18393.672,16413.492,,13542.231000000002,234427.643,3868.685,489881.864,1415.4620000000002,,2702.579,22.002,,35151.862,,25441.646,,319.029,404341.8102,231651.724,,34089.7717,3571.658,,612.389,18507.349,,,1803925.007,,531443.2585,11360.366000000002,165.015,,843.41,366.7,,,223.687,520.714,,198.018,498.712,90101.85699999999,,228040.8179,154290.0555,1768558.719,,,2152.529,,5416.159000000001,1873.8370000000002,3619.329,,212.68599999999998,106783.04,1474.134,13641.24,1081.765,132.012,12838.167,3977818.587,,19328.756999999998,,7696478.2129999995,135.679,,666.44625,21572.961,73.34,1697.8210000000001,436.37300000000005,487.711,13655.908000000001,18232.324,259282.569,12409.128,,6688.608,92129.70800000001,,40.336999999999996,25.669,,11.001,25507.652000000002,700.3969999999999,,7.334,253.023,3058.278,,,,17536.36768,33.003,227.354,133885.837,201136.2366,,86519.198,2948.268,22.002,33.003,,18.335,182631.7335,182602.59399999998,3186.623,1334.7879999999998,227.354,69001.939,32562.96,4609.419,,1760.16,12167.106000000002,,198.018,14.668,4638.755,3087.614,33523.714,,,,810.4069999999999,,916.75,592517.527,3695708.943,1235117.994,4884.444,,84.34100000000001,65815.31599999999,22984.756,,,12389685.57,3054.611,4792.769,5298.815
8,1968,1224.778,3072.946,9061.157,,,1672.152,990.09,178805.0386,69082.613,,,134622.904,42350.183,,1631.815,1103.767,,440.04,,118557.77699999999,102.676,154.014,223.687,,2178.198,,,77421.371,429.039,59526.41099999999,102.676,55.005,29.336,491.37800000000004,506.046,303539.592,14026.275,22.002,183.35,723926.2782,124.678,,21224.596,468928.626,26604.085,18.335,3369.973,451.041,1037.761,1763.8270000000002,,16035.791000000001,,1624.481,,53325.514,121.01100000000001,22.002,2350.547,1378369.236,585646.1473,3116.95,22904.082000000002,1261.448,29.336,,,1727.1570000000002,1832618.7519999999,,,3317585.025,183.35,396.036,33314.695,97466.27962,384631.63,154.014,1961.845,36.67,,,1763.8270000000002,22321.029,542.716,40.336999999999996,,2141.528,748.068,62.339,1331.121,264.024,35992.55629,9702791.743999999,7999079.043,,1224.778,6204.564,61154.559,1595.145,187336.02899999998,27586.841,82404.82400000001,19717.459,17821.62,,13809.921999999999,249495.34600000002,3883.353,562565.471,1507.1370000000002,,2819.923,33.003,,37242.052,,22442.04,,168.68200000000002,431414.713,252861.652,,46946.36902,3700.0029999999997,,883.747,30139.072999999997,,,1988636.7319999998,,585798.1124,12269.782,168.68200000000002,,913.0830000000001,388.702,,,198.018,638.058,,234.688,638.058,93988.877,,272067.2294,196498.5783,1946665.706,,,2482.5589999999997,,5628.845,2779.586,2929.933,,253.023,113552.32199999999,1840.8339999999998,13487.226,1232.112,161.34799999999998,6633.603,4135118.2189999996,,21140.255,,8104768.56,161.34799999999998,,710.6083509,24737.582000000002,77.007,2020.517,502.379,590.387,14502.985,22251.356,276073.762,13010.516000000001,,7080.977,100189.774,,55.005,29.336,,14.668,29104.979,,,7.334,385.035,5419.826,,,,18855.560569999998,36.67,154.014,138084.552,219942.1864,,97157.165,3241.6279999999997,33.003,36.67,,22.002,187447.0565,187414.3343,3105.949,1452.132,278.692,77685.395,36028.275,5962.5419999999995,,1653.817,17099.221,,194.351,14.668,4041.034,3597.327,36314.301,,,,982.7560000000001,,1243.113,606969.174,3831354.94,1358917.6709999999,4884.444,,62.339,65635.633,23622.814,,,13017193.61,11646.392,4572.749,6384.246999999999
9,1969,942.419,3245.295,11276.025,,,2786.92,1257.781,213131.6125,77329.696,,,142257.598,44693.39599999999,,1745.4920000000002,1272.4489999999998,,480.37699999999995,,123618.237,135.679,201.685,198.018,,2548.565,,,84315.33099999999,487.711,66376.367,121.01100000000001,73.34,36.67,1345.789,572.052,307400.943,14869.685,44.004,187.017,778050.609,161.34799999999998,,22555.717,577237.1379999999,28048.882999999998,18.335,3652.3320000000003,502.379,1147.771,2086.5229999999997,,17260.569,,1672.152,,59401.733,84.34100000000001,18.335,2654.908,1610239.861,706800.5951,3593.66,19695.457,1191.775,44.004,,,1668.485,1948005.993,,,3521010.692,212.68599999999998,432.70599999999996,37935.115,104244.6476,413259.899,161.34799999999998,1433.797,47.67100000000001,,,1690.487,25474.648999999998,407.037,47.67100000000001,,2280.874,748.068,58.672,1367.7910000000002,315.362,39693.42649,10332668.89,8482760.054,,1177.107,7759.371999999999,62419.674000000006,1265.115,190724.337,33391.702000000005,83116.22200000001,22625.39,18514.683,,14818.347,270008.544,4272.055,653958.1120000001,1760.16,,3131.618,11.001,,42522.532,,26831.439,,319.029,466813.9806,273440.856,,45122.53563,4352.729,,1272.4489999999998,35551.565,,,2211574.3109999998,,606052.8504,13193.866000000002,168.68200000000002,,850.7439999999999,381.36800000000005,,,161.34799999999998,652.726,,275.025,572.052,102287.29800000001,,306981.6924,200178.6155,2164043.548,,,2684.244,,5826.863,3241.6279999999997,3215.9590000000003,,399.70300000000003,115910.20300000001,1558.475,14271.964,1287.117,190.68400000000003,12112.101,4332347.813999999,,22222.02,,8598080.309,234.688,,762.7999247,23993.181,132.012,2053.52,557.384,520.714,15302.391000000001,22860.077999999998,293653.36,14612.995,,7172.651999999999,111649.149,,58.672,29.336,,14.668,35302.209,491.37800000000004,,7.334,1107.434,7205.655,,,,19188.26025,36.67,161.34799999999998,143280.691,223580.6075,,96882.14,4319.726,25.669,62.339,,29.336,202900.3689,202853.2313,4184.0470000000005,1521.805,304.361,86467.86,38096.462999999996,7242.325,,1796.83,14561.657,,242.02200000000002,11.001,3905.355,3857.684,38807.861000000004,,,,1177.107,,20524.199,628857.497,4024748.853,1542365.47,5595.842,,44.004,68998.272,27080.795,,,13797116.84,4679.092000000001,4275.722,6750.946999999999
