,id,address,floor,allfloor,layout,area,price,browsenum_all
0,6032971,永康街47巷永康街五樓頂加..,5,5,5房3廳3衛,46.8,"60,000",751
1,6054083,仁愛路四段仁愛路樹海景觀..,7,12,4房2廳2衛,76.9,"100,000",162
2,5957980,光復南路高樓層大巨蛋正對..,10,13,4房2廳2衛,71.3,"150,000",2385
3,6043839,永康街23巷永康商圈..,3,4,2房1廳1衛,18.0,"29,000",1323
4,5181793,雲和街師大*已收訂..,5,5,2房2廳1衛,28.0,"31,800",2303
5,5650938,復興南路一段忠孝復興2分..,6,10,1房1廳1衛,12.9,"37,500",2096
6,6018145,四維路52巷大安站全新飯店..,4,5,2房1廳1衛,22.0,"35,000",2328
7,6030022,信義路三段台北大安森林公..,12,14,1房2廳1衛,14.0,"36,000",931
8,6049021,忠孝東路四段223巷﻿﻿忠..,4,7,3房2廳2衛,39.6,"46,000",429
9,6044046,光復南路101生活圈..,3,14,2房1廳1衛,22.6,"45,000",717
10,6057888,龍泉街WELIVE時尚捷運兩房..,4,5,2房1廳1衛,20.0,"22,800",762
11,6012379,忠孝東路四段216巷明曜靜..,2,7,4房2廳2衛,50.0,"50,000",493
12,6022259,安東街忠孝復興MRT..,8,11,2房2廳1衛,20.0,"32,000",1742
13,6038917,信義路二段148巷@東門永..,3,7,4房2廳3衛,72.0,"90,000",124
14,6042000,忠孝東路四段紀念館捷運站..,7,12,2房2廳1衛,24.0,"38,000",541
15,6009541,基隆路二段291巷2房1廳..,2,4,2房1廳1衛,28.0,"24,906",2575
16,6009569,復興南路二段171巷大安遠..,13,14,4房2廳2衛,92.2,"110,000",333
17,6020029,信義路二段信義美學東門站..,8,13,2房2廳1衛,25.0,"38,000",1209
18,6029645,信義路四段環境清悠近公園..,4,7,4房2廳3衛,45.9,"65,000",292
19,6055248,仁愛路四段稀有仁愛樹海名..,7,12,4房2廳2衛,67.0,"100,000",44
20,5982803,忠孝東路三段217巷SOGO21..,1,6,3房2廳1衛,45.6,"80,000",887
21,6008839,"忠孝東路三段光線佳,近北..",7,11,3房2廳2衛,41.0,"42,000",472
22,6017040,羅斯福路二段77巷師大運動..,3,5,3房2廳2衛,36.0,"42,000",504
23,6062200,忠孝東路四段101巷SOGO商..,7,8,3房2廳2衛,33.0,"48,500",2
24,5880983,仁愛路三段143巷SOGO名巷..,2,7,4房2廳2衛,43.3,"65,000",1427
25,6058409,光復南路101高樓景觀豪邸,12,15,3房2廳2衛,33.8,"65,000",117
26,6033481,敦南街大安遠企商圈~靜巷..,1,16,5房3廳4衛,71.0,"180,000",376
27,6006160,建國南路一段大安森..,10,14,3房2廳1衛,26.1,"30,000",2880
28,6048518,復興南路一段地段優近東區..,4,15,3房2廳2衛,47.9,"55,000",137
29,6022130,光復南路346巷(雙衛)國..,5,7,3房2廳2衛,43.0,"49,500",501
0,5995579,信義路三段101景觀大安捷..,14,14,1房2廳1衛,11.7,"33,000",635
1,6052288,瑞安街120巷近大安站陽光..,3,7,3房2廳1衛,32.1,"55,000",100
2,6022885,安和路二段和平東路三段口..,5,14,3房2廳2衛,43.0,"49,800",237
3,6022890,和平東路三段傢電設備全+..,10,14,4房2廳2衛,53.0,"67,880",272
4,6028623,復興南路253巷大安..,3,7,3房2廳2衛,40.0,"35,000",2044
5,5983961,延吉街131巷捷運國父紀念..,3,7,2房1廳1衛,18.0,"36,500",1234
6,6027342,四維路176巷❤世界敦南❤..,3,8,1房1廳1衛,12.3,"23,000",848
7,5980651,敦化南路一段160巷SOGO捷..,4,4,2房1廳1衛,10.0,"25,000",1841
8,6057412,"信義路四段師大附中,信維..",9,12,3房2廳2衛,26.4,"30,000",301
9,6051480,安和路二段遠企優質*中庭..,3,17,3房2廳2衛,47.0,"60,000",91
10,6003433,泰順街60巷捷運台電大樓時..,2,7,2房1廳1衛,27.7,"55,000",854
11,5945334,敦化南路二段雙捷運敦南遠..,10,16,3房2廳2衛,36.0,"45,000",978
12,5989851,泰順街60巷靜巷內的新建小..,5,7,1房1廳1衛,18.0,"38,000",934
