,title,address,price,building_area,building_use,latitude,longitude,btype
11,政大靜巷優質(女)套房，可住雙人,台北市文山區指南路二段,10000,6.0,公寓/獨立套房,24.9886979,121.574008,公寓
15,台北市北投新民路捷運溫泉78坪雙拼美廈,台北市北投區新民路,25000,78.0,電梯大樓/整層住家,25.1409925,121.5081385,電梯大樓
20,小巨捷運敦化學區樓中樓可三代同堂兼辦公,台北市松山區北寧路,70000,66.35,電梯大樓/整層住家,25.0518682,121.55383020000001,電梯大樓
39,環境單純，生活機能佳，近市中心交通便利,台北市松山區吉祥路,8000,6.0,透天厝/分租套房,25.049546,121.562708,透天厝
65,房間分租/獨立衛浴/環境舒適~近天母三越,台北市士林區天母東路,14000,26.0,公寓/辦公,25.118543,121.53428000000001,公寓
71,天母優質套房,台北市士林區中山北路七段,7900,4.0,公寓/分租套房,25.119011999999998,121.533468,公寓
72,仁愛米蘭：近仁愛國小捷運216巷國泰醫院,台北市大安區仁愛路四段,40000,20.0,電梯大樓/獨立套房,25.0376233,121.55334040000001,電梯大樓
78,"內科優質辦公室分租,管理優.視野讚",台北市內湖區瑞光路,35000,22.0,電梯大樓/辦公,25.073945000000002,121.578429,電梯大樓
79,科技新貴套房(近昆陽捷運站,台北市南港區南港路二段,8800,8.0,公寓/獨立套房,25.0546398,121.59355159999998,公寓
84,***通化街市場店面攤位出租*****,台北市大安區通化街,18000,5.0,透天厝/店面,25.0305949,121.554524,透天厝
98,內湖文德路2樓套房-女房客安全首選~,台北市內湖區文德路,10500,5.0,公寓/分租套房,25.078677,121.580523,公寓
100,民權西路捷運站兩分鐘步行距離生活機能佳,台北市中山區天祥路,9500,7.0,電梯大樓/分租套房,25.0617924,121.52087399999999,電梯大樓
101,北醫吳興商圈舒適雅房,台北市信義區吳興街,7500,8.0,公寓/雅房,25.0231323,121.5622635,公寓
121,出租車位近市政府永春捷運站24小時,台北市信義區忠孝東路五段,4000,3.0,,25.0407581,121.57203670000001,nan
123,徵短租雅房限單身.無不良嗜好可短租,台北市文山區景華街,5200,4.0,公寓/雅房,24.9965,121.54710700000001,公寓
124,敦南遠企商圈正面林蔭藝廊四季景觀管理大樓,台北市大安區敦化南路二段,58000,38.0,電梯大樓/整層住家,25.028859,121.548525,電梯大樓
125,大安森林公園正職單身女士雙衛豪華雅房7間,台北市大安區信義路三段,6500,4.0,電梯大樓/雅房,25.029265600000002,121.5388557,電梯大樓
130,搶租~榮星花園.濱江市場旁,台北市中山區龍江路,9500,4.0,公寓/獨立套房,25.0671744,121.54213429999999,公寓
136,近公園.市場.交通方便,台北市萬華區青年路,9000,10.0,公寓/整層住家,25.0253997,121.5053158,公寓
140,溫馨舒適，優質小套房(樓中樓),台北市大安區安和路二段,18000,12.0,電梯大樓/獨立套房,25.030071300000003,121.55219270000002,電梯大樓
150,天母陽光山水-首席天下出租(含平面車位),台北市北投區天母西路,40000,55.0,電梯大樓/整層住家,25.1194404,121.52303140000001,電梯大樓
151,全新裝潢小毫宅！近捷運麟光站,台北市大安區臥龍街,26000,13.0,電梯大樓/整層住家,25.016257999999997,121.560077,電梯大樓
154,"套房出租飯店住房品質,平價收費,絕對物超",台北市中正區忠孝西路一段,19000,6.0,電梯大樓/獨立套房,25.0463949,121.5178442,電梯大樓
155,鬧中取靜交通方便俗擱大碗辦公室分租,台北市中正區羅斯福路一段,14000,24.0,電梯大樓/辦公,25.0309901,121.5181821,電梯大樓
156,松機知名辦雙捷公車金融機能全現成實用超值,台北市松山區民權東路三段,209593,123.29,電梯大樓/辦公,25.062513199999998,121.55079170000002,電梯大樓
168,距公車站牌2分鐘，交通方便！,台北市萬華區和平西路三段,7800,6.5,電梯大樓/分租套房,25.0338141,121.5037669,電梯大樓
169,安和路2段室內平面大車位24小時警衛駐守,台北市大安區安和路二段,7500,10.0,,25.030413,121.552071,nan
186,捷運芝山站步行6分鐘，明亮通風乾淨舒適。,台北市士林區文昌路,15000,10.0,透天厝/獨立套房,25.100091,121.520178,透天厝
